time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,2.7,-1.1,5.9,0.1,,,6.8,,1027.5,
2024-01-02,2.9,0.9,4.9,0.0,,,6.6,,1023.2,
2024-01-03,2.4,-1.1,4.9,0.4,,,10.0,,1019.9,
2024-01-04,1.9,-3.1,5.9,0.0,,,12.8,,1022.1,
2024-01-05,5.1,-0.1,7.9,0.0,,,14.6,,1020.2,
2024-01-06,0.4,-3.1,3.9,0.6,,,12.0,,1022.6,
2024-01-07,-3.5,-7.1,-1.1,0.0,,,23.9,,1027.2,
2024-01-08,-4.8,-9.1,-1.1,0.0,,,9.2,,1027.6,
2024-01-09,0.1,-1.1,0.9,2.6,,,10.5,,1020.4,
2024-01-10,-1.5,-3.1,1.9,0.0,,,9.1,,1021.4,
2024-01-11,1.7,-4.1,5.9,0.0,,,12.3,,1018.5,
2024-01-12,1.1,-1.1,2.9,0.0,,,14.7,,1019.6,
2024-01-13,-0.1,-3.1,3.9,0.0,,,8.6,,1024.9,
2024-01-14,0.4,-3.1,4.9,3.5,,,15.2,,1022.3,
2024-01-15,-3.3,-6.1,-1.1,0.0,,,16.9,,1028.9,
2024-01-16,-2.8,-6.1,1.9,0.0,,,7.5,,1032.8,
2024-01-17,-0.3,-2.1,0.9,5.6,,,12.0,,1026.8,
2024-01-18,3.3,0.9,6.9,0.3,,,14.3,,1023.3,
2024-01-19,5.2,2.9,9.9,0.0,,,19.2,,1027.7,
2024-01-20,2.7,0.9,4.9,2.1,,,20.4,,1026.0,
2024-01-21,1.0,-3.1,1.9,0.0,,,19.4,,1026.2,
2024-01-22,-8.0,-10.1,-3.1,0.0,,,33.0,,1029.8,
2024-01-23,-10.7,-13.1,-9.1,0.0,,,29.7,,1027.6,
2024-01-24,-6.9,-9.1,-4.1,0.0,,,31.2,,1027.2,
2024-01-25,-4.4,-8.1,-1.1,0.0,,,17.7,,1029.4,
2024-01-26,-2.3,-8.1,2.9,0.0,,,5.4,,1029.6,
2024-01-27,-1.4,-6.1,3.9,0.0,,,8.2,,1028.0,
2024-01-28,-2.3,-7.1,1.9,0.0,,,8.3,,1028.9,
2024-01-29,-1.5,-6.1,3.9,0.0,,,5.5,,1031.6,
2024-01-30,-0.6,-5.1,5.9,0.0,,,6.7,,1029.5,
2024-01-31,2.7,-0.1,7.9,0.0,,,7.5,,1025.1,
2024-02-01,0.4,-1.1,3.9,0.0,,,14.2,,1026.0,
2024-02-02,-0.1,-3.1,2.9,0.0,,,6.2,,1027.6,
2024-02-03,2.2,-3.1,5.9,0.1,,,10.7,,1028.0,
2024-02-04,4.7,1.9,8.9,0.0,,,12.5,,1025.6,
2024-02-05,2.3,-0.1,4.9,8.0,,,21.6,,1021.6,
2024-02-06,0.2,-1.1,1.9,0.0,,,13.1,,1025.5,
2024-02-07,-0.4,-3.1,1.9,0.0,,,9.4,,1024.1,
2024-02-08,-0.5,-4.1,3.9,0.0,,,6.5,,1022.3,
2024-02-09,0.6,-3.1,4.9,0.0,,,11.8,,1022.3,
2024-02-10,1.4,-3.1,5.9,0.0,,,11.0,,1023.5,
2024-02-11,0.9,-3.1,4.9,0.0,,,13.8,,1024.6,
2024-02-12,1.9,-4.1,7.9,0.0,,,9.1,,1028.6,
2024-02-13,7.4,1.9,12.9,0.0,,,18.1,,1025.3,
2024-02-14,10.1,6.9,13.9,0.0,,,11.3,,1020.9,
2024-02-15,3.7,0.9,8.9,2.4,,,19.7,,1020.2,
2024-02-16,1.1,-3.1,5.9,0.0,,,7.5,,1025.0,
2024-02-17,2.4,-3.1,7.9,0.0,,,6.8,,1022.1,
2024-02-18,5.6,0.9,9.9,1.9,,,12.4,,1018.0,
2024-02-19,7.3,1.9,10.9,6.6,,,13.8,,1011.7,
2024-02-20,3.7,1.9,5.9,2.1,,,14.0,,1022.5,
2024-02-21,1.7,-0.1,4.9,12.7,,,22.6,,1021.3,
2024-02-22,0.0,-1.1,0.9,6.5,7.0,,17.8,,1026.7,
2024-02-23,1.6,-1.1,4.9,0.0,,,17.3,,1030.0,
2024-02-24,2.5,-0.1,5.9,1.8,,,13.1,,1029.0,
2024-02-25,2.6,0.9,5.9,2.4,,,14.1,,1024.3,
2024-02-26,2.7,-2.1,6.9,0.0,,,10.2,,1028.1,
2024-02-27,4.8,0.9,8.9,0.0,,,11.0,,1029.9,
2024-02-28,5.6,2.9,8.9,0.0,,,8.6,,1028.5,
2024-02-29,4.1,0.9,7.9,0.0,,,14.1,,1024.1,
2024-03-01,-3.5,-6.1,-0.1,0.0,,,31.4,,1025.4,
2024-03-02,0.0,-7.1,4.9,1.3,,,21.3,,1020.8,
2024-03-03,3.3,-0.1,5.9,0.0,,,10.7,,1017.8,
2024-03-04,3.6,-2.1,9.9,0.0,,,8.2,,1021.4,
2024-03-05,6.9,3.9,10.9,0.3,,,16.8,,1015.5,
2024-03-06,4.8,1.9,8.9,0.0,,,15.9,,1016.9,
2024-03-07,3.7,0.9,5.9,0.0,,,17.2,,1017.7,
2024-03-08,3.1,-0.1,6.9,0.0,,,25.0,,1018.9,
2024-03-09,1.5,-2.1,3.9,0.0,,,16.0,,1024.4,
2024-03-10,3.4,-1.1,7.9,0.0,,,10.0,,1028.2,
2024-03-11,6.0,1.9,9.9,0.0,,,8.9,,1021.3,
2024-03-12,6.1,2.9,9.9,0.9,,,11.9,,1016.0,
2024-03-13,5.7,1.9,9.9,0.0,,,13.7,,1020.7,
2024-03-14,7.1,2.9,12.9,0.0,,,9.4,,1021.5,
2024-03-15,6.8,2.9,10.9,0.0,,,12.9,,1023.4,
2024-03-16,7.9,1.9,14.9,0.0,,,7.0,,1022.1,
2024-03-17,7.9,4.9,10.9,0.0,,,26.9,,1018.0,
2024-03-18,5.6,-0.1,9.9,0.0,,,10.1,,1022.4,
2024-03-19,6.4,4.9,9.9,0.0,,,27.9,,1015.9,
2024-03-20,4.7,1.9,6.9,0.0,,,29.7,,1020.6,
2024-03-21,4.3,-0.1,7.9,0.0,,,11.3,,1019.1,
2024-03-22,9.9,4.9,14.9,5.5,,,25.6,,1012.5,
2024-03-23,9.8,6.9,14.9,0.0,,,9.4,,1014.9,
2024-03-24,13.1,6.9,20.9,0.0,,,12.4,,1016.5,
2024-03-25,10.4,7.9,13.9,1.9,,,13.9,,1015.7,
